الخدمة كانت سريعة والموظفين مبتسمين.,Cairo,Nasr City,Positive
التاجر رفض يسمع شكوتي خالص.,Cairo,Heliopolis,Negative
استلمت التموين من غير أي زحمة ضخمة.,Cairo,Maadi,Neutral
البياع طمنا على جودة السلع قبل ما ناخدها.,Cairo,Downtown Cairo,Positive
لقيت نقص في الوزن وماحدش تحرك.,Cairo,Zamalek,Negative
الإجراءات ماشية زي العادة من غير جديد.,Giza,Dokki,Neutral
التاجر سلمنا شنط نظيفة ومحترمة.,Giza,Mohandessin,Positive
الطابور خارج الشارع ومفيش تنظيم.,Giza,6th of October City,Negative
الدور اتحرك برتم ثابت.,Giza,Haram,Neutral
البياع سالني لو محتاج مساعدة تانية.,Giza,Faisal,Positive
اللحمة المجمدة ريحتها مش مريحة.,Alexandria,Smouha,Negative
الكمية استلمناها كاملة زى كل مرة.,Alexandria,Raml Station,Neutral
العمال كانوا بيضحكوا وبيرحبوا بينا.,Alexandria,Sidi Gaber,Positive
الأسعار المعلقة مختلفة عن اللي اتدفع.,Alexandria,Miami,Negative
الخدمة مشت بسلاسة من غير تعقيد.,Alexandria,Montaza,Neutral
التاجر اهتم بعرض السلع بطريقة حلوة.,Aswan,Aswan City,Positive
الخضار كان ذابل ومحدش غيره.,Aswan,Kom Ombo,Negative
الزحمة معقولة وبتخلص بسرعة.,Aswan,Edfu,Neutral
الموظف سألنا لو في شكاوي تانية.,Luxor,Luxor City,Positive
مخزن التاجر كان غير نظيف خالص.,Luxor,Karnak,Negative
الانتظار كان على قد ما احنا متعودين.,Luxor,West Bank,Neutral
البياع قدم خصم بسيط على السلع.,Sohag,Sohag City,Positive
الدهون على الزيت كانت باينة.,Sohag,Akhmim,Negative
المنفذ فتح في معاده بالضبط.,Sohag,Girga,Neutral
الموظف رن على المشرف عشان يطمننا.,Qena,Qena City,Positive
التاجر بيقلل الكمية وبيقول مفيش.,Qena,Nag Hammadi,Negative
التنسيق جوة الفرع زي كل مرة.,Qena,Dishna,Neutral
التاجر عزمنا على ميه ساقعة.,Beheira,Damanhur,Positive
الفرع ريحته زيوت قديمة.,Beheira,Kafr El Dawwar,Negative
ما لقيناش أي تحديث في السلع.,Beheira,Rosetta,Neutral
استلمنا الطلب بابتسامة من التاجر.,Minya,Minya City,Positive
النسخ الورقي ضاع والتعامل كان صعب.,Minya,Mallawi,Negative
التحضير جه في الوقت المتوقع.,Minya,Samalut,Neutral
البياع بينادي بالاسم عشان يرتب الدور.,Asyut,Asyut City,Positive
اللحمة فيها لون غريب.,Asyut,Abnub,Negative
الخطوات نفسها اتكررت من غير تغيير.,Asyut,Manfalut,Neutral
العمال ساعدوا كبار السن في الشيل.,Faiyum,Faiyum City,Positive
التاجر مطلعش الفاتورة رغم طلبنا.,Faiyum,Sinnuris,Negative
التوزيع تم بنفس الجدول المعتاد.,Faiyum,Ibishway,Neutral
البياع قالنا شكراً على الثقة.,Suez,Suez City,Positive
السلعة اللي اخدناها كانت متربة.,Suez,Arbaeen,Negative
اليوم كان هادي ومفيش مفاجآت.,Suez,Ganayen,Neutral
التاجر فرش قدامنا السلع الجديدة.,Ismailia,Ismailia City,Positive
المراوح بايظة والجو خانق.,Ismailia,Fayed,Negative
استلمت حاجتي وخرجت على طول.,Ismailia,Abu Suwayr,Neutral
موظف الفرع بركز على راحة الناس.,Sharqia,Zagazig,Positive
الزيت مخروم ووقع منه كتير.,Sharqia,Belha,Negative
نفس النظام شغال من غير تطوير.,Sharqia,10th of Ramadan City,Neutral
البياع قال هيبقى في تخفيض الشهر الجاي.,Dakahlia,Mansoura,Positive
الطابور وقف بسبب مشكلة في الكاشير.,Dakahlia,Mit Ghamr,Negative
الانتظار كان ربع ساعة تقريبا.,Dakahlia,Talkha,Neutral
التاجر سلمنا شنط ورقية بديلة.,Gharbia,Tanta,Positive
البضاعة عليها غبار كتير.,Gharbia,El Mahalla El Kubra,Negative
نفس الكميات اللي استلمناها قبل.,Gharbia,Zefta,Neutral
البياع اعتذر عن أي تأخير.,Damietta,Damietta City,Positive
البياع تجاهل شكوى رائحة الزيت.,Damietta,Ras El Bar,Negative
جدول التسليم هو هو.,Damietta,Kafr Saad,Neutral
التاجر اضاف هدايا بسيطة مع الطلب.,Beni Suef,Beni Suef City,Positive
في ناس قطعت الدور وماحدش تدخل.,Beni Suef,El Wasta,Negative
جينا وخلصنا من غير تعقيد.,Beni Suef,Nasser City,Neutral
البياع ابتسم وودعنا كويس.,Kafr El Sheikh,Kafr El Sheikh City,Positive
الفرن واقف والعيش بيتأخر.,Kafr El Sheikh,Desouk,Negative
استلمنا على دفعتين زي ما تعودنا.,Kafr El Sheikh,Baltim,Neutral
الخدمة المتنقلة جابت السلع للحي.,Red Sea,Hurghada,Positive
البياع باع السلعة بدون ختم.,Red Sea,El Quseir,Negative
الفرع هادي ومفيش ناس كتير.,Red Sea,Marsa Alam,Neutral
التاجر مهتم بالتغليف القوي.,Matruh,Marsa Matruh,Positive
مفيش حد بيراقب تاريخ الصلاحية.,Matruh,Siwa,Negative
الامور ماشية على نفس النسق.,Matruh,El Alamein,Neutral
البياع استخدم كرت الوزن قدامنا.,Port Said,Port Said City,Positive
البياع نرفز الناس بكلامه.,Port Said,Port Fouad,Negative
التوزيع شغال بنفس السرعة.,Port Said,Industrial Area,Neutral
التاجر جاب عربية مياه للانتظار.,North Sinai,Arish,Positive
البياع مشغول بالتليفون ومطنش.,North Sinai,Sheikh Zuweid,Negative
النظام الداخلي ما تغيرش.,North Sinai,Rafah,Neutral
البياع سلمنا منتجات محمية كويس.,South Sinai,Sharm El Sheikh,Positive
المكان بعيد ومفيش مواصلات كويسة.,South Sinai,Dahab,Negative
الاتصالات مع الفرع ماشية.,South Sinai,Nuweiba,Neutral
التاجر قالنا هنزود أصناف الشهر الجاي.,New Valley,Kharga,Positive
المخزن سخن والسلع متعرقة.,New Valley,Mut,Negative
الطابور قصير ومافيش مشاكل.,New Valley,Farafra,Neutral
البياع مهتم يحكي عن مصدر السلع.,Qalyubia,Banha,Positive
الموظف زعق من غير سبب.,Qalyubia,Shubra El Kheima,Negative
اتعاملنا بنفس الورق المعتاد.,Qalyubia,Khanka,Neutral
التاجر وفر كراسي انتظار زيادة.,Qalyubia,Obour City,Positive
الكراتين كانت مكسورة من الطرف.,Qalyubia,Tokh,Negative
استلمنا الأرقام في بداية اليوم.,Qalyubia,Qaha,Neutral
البياع جه بنفسه يتأكد من الوزن.,Giza,Sheikh Zayed,Positive
التاجر باع أكياس ناقصة.,Cairo,Helwan,Negative
المواعيد ماشية بالشكل الطبيعي.,Cairo,New Cairo,Neutral
البياع ساعد في حمل الشنط.,Cairo,Shubra,Positive
الطابور كان غير منظم بالمرة.,Cairo,El Marg,Negative
الأوراق اتراجعت زي العادة.,Cairo,15th of May City,Neutral
التاجر عرض منتجات جديدة بجودة.,Giza,Boulaq Dakrour,Positive
اللحمة لونها متغير ومش مضمونة.,Giza,Warraq,Negative
التوزيع مشابه لآخر مرة.,Giza,Imbaba,Neutral
البياع وزع منشور عن التغذية.,Alexandria,Borg El Arab,Positive
البياع تجاهل الصف الطويل.,Alexandria,Agami,Negative
ما ظهرش أي جديد في الخدمة.,Alexandria,Abu Qir,Neutral
التاجر استخدم جهاز رقم الدور.,Faiyum,Tamiya,Positive
الكراتين فيها بلل من التخزين.,Faiyum,Yusuf Al Seddik,Negative
نفس التعليمات بتتكرر كل مرة.,Faiyum,New Faiyum,Neutral
التاجر ودانا للمسؤول عشان يحل المشكلة.,Sharqia,Hehia,Positive
الموظف كان بيزعق في الناس.,Sharqia,Faqous,Negative
مفيش تغيير في نظام الأدوار.,Sharqia,Mashtoul El Souk,Neutral
البياع وزع تمر مجاني للناس.,Dakahlia,Sherbin,Positive
السلع اللي

*You stopped this response*
