notification_id,product_id,message,triggered_at,send_status,num_negative,threshold
1,B0C8TGCVL1,"Product 'Oraimo FreePods 3C (OEB-E104DC), ENC Calling Noise Cancellation, powerful bass 4 mics, Long Playtime True Wireless Earbuds IPX5-Water Resistant, Via App – Black (1 Year Warranty)' (ID: B0C8TGCVL1) has received 11 negative review(s).",2025-11-29 22:05:00,no,11,15
2,B0C9MNT48D,"Product 'Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black' (ID: B0C9MNT48D) has received 5 negative review(s).",2025-11-29 22:05:00,no,5,15
3,B0CDM94MJL,"Product 'HUAWEI FreeBuds SE 2, 40-Hour Battery Life, Compact and Comfortable to Grip, 3 Hours of Music Playback on a 10-Minute Charge, IP54 Dust & Splash Resistance, Isle Blue' (ID: B0CDM94MJL) has received 17 negative review(s).",2025-11-29 22:05:00,yes,17,15
4,B0CVVBP6R8,"Product 'AirPods Pro 2 Plus Bluetooth Headset with Active Noise Cancelling Wireless Charging Case (White, True Wireless) in Ear' (ID: B0CVVBP6R8) has received 41 negative review(s).",2025-11-29 22:05:00,yes,41,15
5,B0D6BPY3SC,"Product 'Soundcore By Anker R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 45H Playtime, IP54, AI Clear Calls with 4 Mics, 22 Preset EQs via App-Black, 18 Months Warranty' (ID: B0D6BPY3SC) has received 6 negative review(s).",2025-11-29 22:05:00,no,6,15
6,B0DBHRWRKC,"Product 'Xiaomi Wireless Earphones, Redmi buds 6 Play, 36 Hours Playtime, AI Call Noise Reduction, Ultra Lightweight, Compatible with Google Fast Pair, Fast Charging, Black |6 month manufacturer warranty' (ID: B0DBHRWRKC) has received 7 negative review(s).",2025-11-29 22:05:00,no,7,15
7,B0BZV4QFP8,"Product 'Anker soundcore Liberty 4 NC Wireless, 98.5% Noise Reduction, Adaptive Noise Cancelling to Ears 50H Battery, Wireless Charging, Bluetooth 5.3+ 18 Months Local Warranty - Black' (ID: B0BZV4QFP8) has received 18 negative review(s).",2025-11-29 22:07:24,no,18,15
8,B0CM6JQHTL,"Product 'Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App, Black, 18 Months Warranty' (ID: B0CM6JQHTL) has received 10 negative review(s).",2025-11-29 22:07:24,no,10,15
9,B0D35JN2JH,"Product 'HUAWEI FreeBuds 6i, Intelligent Dynamic ANC 3.0, Punchy Bass, Fast Charging, Longer Listening, Distraction-Free Calling, IP54 Sweat- and Water-resistance, Dual-Device Connection, White' (ID: B0D35JN2JH) has received 3 negative review(s).",2025-11-29 22:07:24,no,3,15
10,B0DJW5G283,"Product 'ANKER Soundcore Q11i Wireless Headphones, 40mm Dynamic DriverHi-Res Audio, One-Touch Bass Boost, 60-Hour Playtime, Detachable Ear Cushions, Bluetooth V5.3, Dark Gray | 18 Months Warranty' (ID: B0DJW5G283) has received 4 negative review(s).",2025-11-29 22:07:24,no,4,15
11,B0F7FVY8FS,Product 'Oraimo OTW-323 SpaceBuds Neo Premium Earbuds Immersive Audio for Dynamic Lifestyles - Speed Black' (ID: B0F7FVY8FS) has received 4 negative review(s).,2025-11-29 22:07:24,no,4,15
12,B096N9YPC8,Product 'M10 New M10 TWS Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time' (ID: B096N9YPC8) has received 41 negative review(s).,2025-11-29 22:09:29,no,41,15
13,B09K7MM86Z,"Product 'Anker soundcore life u2i bluetooth neckband with 22 h playtime, 10 mm drivers,clear calls , usb-c fast charging, foldable & lightweight build, ipx5 waterproof - black-18 months local warranty' (ID: B09K7MM86Z) has received 12 negative review(s).",2025-11-29 22:09:29,no,12,15
14,B0CFXMZRGV,"Product 'Soundcore Liberty 4 NC Earbuds, 98.5 Percent Noise Reduction, Adaptive Cancelling To Ears And Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 Navy Blue -18 Months Warranty' (ID: B0CFXMZRGV) has received 9 negative review(s).",2025-11-29 22:09:29,no,9,15
15,B0CH8H6ZL6,Product 'Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White' (ID: B0CH8H6ZL6) has received 8 negative review(s).,2025-11-29 22:09:29,no,8,15
16,B0CHWWMCSF,"Product 'Wireless Earbuds (PRO 2nd generation) Bluetooth for Android/iOS with Touch Control, Noise Canceling, Charging case' (ID: B0CHWWMCSF) has received 31 negative review(s).",2025-11-29 22:09:29,no,31,15
17,B0D22RLPP3,"Product 'Soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, ENC 2-Mic Clear Calls, Custom EQ, IPX5, Bluetooth 5.3, App Control (Black) 18 Months Warranty' (ID: B0D22RLPP3) has received 39 negative review(s).",2025-11-29 22:09:29,no,39,15
