Title,ASIN,Stars,Review,Price,clean_review,predicted_sentiment
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,السماعه اصليه محدش يقلق,599,السماعه اصليه محدش يقلق,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,الجوده,599,الجوده,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,زي الزفت فيه مشكلة,599,زي الزفت فيه مشكلة,محايد
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,اكثر من التوقعات,599,اكثر من التوقعات,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,"السماعة وصلتني اصلية الحمد لله وصوتها حلو اوى
انصح جدا بشرائها",599,السماعة وصلتني اصلية الحمد لله وصوتها حلو اوى انصح جدا بشرائها,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,"بعد تجربة لشهوور
انصح بها
قيمة مقابل سعر
شكرا امازون",599,بعد تجربة لشهوور انصح بها قيمة مقابل سعر شكرا امازون,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,جوي روم ماركة ممتازة و تعمل في مقام ٩٥% من الأصلية التي يصل سعرها ٨ ألاف جنيه,599,جوي روم ماركة ممتازة و تعمل في مقام من الأصلية التي يصل سعرها ألاف جنيه,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,"السماعة وصلت بحاله جيده والعلب سليمه
السماعة صوتها كويس وواضح وفيها بييز جميل البييز فيها أعلى بشكل واضح عن الإصدار العادى",599,السماعة وصلت بحاله جيده والعلب سليمه السماعة صوتها كويس وواضح وفيها بييز جميل البييز فيها أعلى بشكل واضح عن الإصدار العادى,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,منتج سى جدا,599,منتج سى جدا,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,2.0,المايك وحش اوي اوي,599,المايك وحش اوي اوي,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,جميله جدا,599,جميله جدا,إيجابي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,صوتها وحش ولا ارشحها لاحد,599,صوتها وحش ولا ارشحها لاحد,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,5.0,شكىا امازون,599,شكىا امازون,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,سيئ جداً,599,سيئ جدا,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,السماعه بتقطع والصوت مش واضح ولاتعمل بشكل جيد وغير متوقعه من جوي روم,599,السماعه بتقطع والصوت مش واضح ولاتعمل بشكل جيد وغير متوقعه من جوي روم,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,لا يدعم النويس وخاصية كتم الضوضاء ومايك سيئ وصوت سيئ ولا يدعم ادخال صوت المتحدثون,599,لا يدعم النويس وخاصية كتم الضوضاء ومايك سيئ وصوت سيئ ولا يدعم ادخال صوت المتحدثون,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,لا تستحق الشراء,599,لا تستحق الشراء,سلبي
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,معرفتى بهذه الماركه انها جيد ولكن حظى لم يكن جيد هذه المره,599,معرفتى بهذه الماركه انها جيد ولكن حظى لم يكن جيد هذه المره,محايد
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,B0CH8H6ZL6,1.0,المايك سىء و بطاريه سيئه بتفصل كل شويه,599,المايك سىء و بطاريه سيئه بتفصل كل شويه,سلبي
