الخدمة النهاردة كانت ممتازة والناس مبسوطة.,Cairo,Nasr City,Positive
الطابور كان طويل ومحدش نظم الناس.,Cairo,Heliopolis,Negative
استلمت الكمية المعتادة من غير زيادات.,Cairo,Maadi,Neutral
التاجر وزع ابتسامات واهتمام على كل زبون.,Cairo,Downtown Cairo,Positive
الأكياس اتقطعت من كتر الوزن ومحدش ساعد.,Cairo,Zamalek,Negative
الإجراءات مشت بالطريقة المعروفة كل شهر.,Giza,Dokki,Neutral
السلع كلها متاحة والتعبئة شكلها محترم.,Giza,Mohandessin,Positive
اللحوم ريحتها مش لطيفة خالص.,Giza,6th of October City,Negative
الانتظار كان مقبول مش طويل قوي.,Giza,Haram,Neutral
الوزن كان دقيق والميزان اتراجع قدامنا.,Giza,Faisal,Positive
الأسعار أعلى من اللي اتكتب على اليافطة.,Alexandria,Smouha,Negative
ما لاحظتش اختلاف كبير عن الزيارة اللي فاتت.,Alexandria,Raml Station,Neutral
المنفذ وفر أكياس قماش بديلة عن البلاستيك.,Alexandria,Sidi Gaber,Positive
مفيش موظفين كفاية يخدموا الزباين.,Alexandria,Miami,Negative
تم التوقيع في الدفتر وسلمونا الطلب.,Alexandria,Montaza,Neutral
الأسعار ثابتة ومناسبة لميزانية البيت.,Aswan,Aswan City,Positive
السلع الأساسية خلصت بدري ومافيش بديل.,Aswan,Kom Ombo,Negative
المكان كان مزدحم نص نص.,Aswan,Edfu,Neutral
الموظفين تعاونوا بسرعة مع كبار السن.,Luxor,Luxor City,Positive
التاجر ما بيردش على الشكاوي إطلاقاً.,Luxor,Karnak,Negative
الاتصالات شغالة والردود رسمية.,Luxor,West Bank,Neutral
الجو جوة المنفذ منظم ومكيف كويس.,Sohag,Sohag City,Positive
المكان ضيق وحر جدًا من غير تهوية.,Sohag,Akhmim,Negative
الأسعار مستقرة نفس الجدول القديم.,Sohag,Girga,Neutral
تم توزيع السكر والزيت بشكل عادل.,Qena,Qena City,Positive
الوزن ناقص عن المفروض ومحدش اعترف.,Qena,Nag Hammadi,Negative
الخدمة كانت متوسطة مش أحسن حاجة.,Qena,Dishna,Neutral
الشكر موصول للفرع على الأسلوب الراقي.,Beheira,Damanhur,Positive
